Name,IF,IFDenseRank,IFMinRank
deep,16015.120445344126,83.0,84.0
light,15896.508875739646,84.0,85.0
bluegreen,15810.816568047338,85.0,86.0
forward,15779.067307692309,86.0,87.0
previou,15408.739010989011,87.0,88.0
form,15406.56882591093,88.0,89.0
phase,14975.58901098901,89.0,90.0
determin,14865.809018567641,90.0,91.0
composit,14824.314777327932,91.0,92.0
spontan,14748.012820512819,92.0,93.0
depend,14734.499313186812,93.0,94.0
ratio,14612.676573426572,94.0,95.0
comparison,14525.458041958042,95.0,96.0
method,14407.336538461539,96.0,97.0
mechan,14401.311444652907,97.0,98.0
optic,14380.11279585799,98.0,99.0
connement,14273.550935550937,99.0,100.0
carrierlifetim,14236.85256410256,100.0,101.0
puls,14194.62278106509,101.0,102.0
hop,14162.707559681696,102.0,103.0
journal,14140.207692307693,103.0,104.0
select,14140.207692307693,103.0,104.0
topic,14140.207692307693,103.0,104.0
ieee,14140.207692307693,103.0,104.0
diod,14093.113905325445,104.0,108.0
resolut,14076.718749999998,105.0,109.0
con,13867.066433566435,106.0,110.0
dope,13803.173076923078,107.0,111.0
al,13746.044178794178,108.0,112.0
report,13638.14423076923,109.0,113.0
gain,13451.417879417879,110.0,114.0
mole,13434.148541114058,111.0,115.0
fraction,13434.148541114058,111.0,115.0
factor,13307.24852071006,112.0,117.0
modul,13246.009615384615,113.0,118.0
size,13200.063545150502,114.0,119.0
delay,13147.155448717947,115.0,120.0
occur,13129.934911242606,116.0,121.0
spectrum,13116.842105263157,117.0,122.0
barrier,13094.89397089397,118.0,123.0
fullwidth,13015.243589743588,119.0,124.0
ptype,12908.916420118345,120.0,125.0
phi,12861.128205128203,121.0,126.0
vari,12834.482517482516,122.0,127.0
characterist,12774.30876068376,123.0,128.0
thick,12740.472527472526,124.0,129.0
condit,12677.624999999998,125.0,130.0
reduc,12478.221153846154,126.0,131.0
previous,12429.288461538461,127.0,132.0
appear,12344.942307692309,128.0,133.0
period,12329.8778280543,129.0,134.0
yellow,12324.784482758621,130.0,135.0
width,12294.243421052632,131.0,136.0
quantumdotlik,12088.975113122171,132.0,137.0
appl,12001.541777188328,133.0,138.0
adjac,11931.971153846154,134.0,139.0
semiconductor,11859.655695266272,135.0,140.0
inrich,11770.367408906879,136.0,141.0
energydiffer,11735.833333333332,137.0,142.0
lower,11727.692307692307,138.0,143.0
indium,11677.720588235296,139.0,144.0
lumin,11670.167832167834,140.0,145.0
acurrentofmamanylongitudinalmodesareobservedwitha,11619.560096153846,141.0,146.0
parallel,11603.352272727272,142.0,147.0
index,11532.46875,143.0,148.0
convent,11440.27851458886,144.0,149.0
format,11421.797390109889,145.0,150.0
areequival,11307.473557692307,146.0,151.0
detail,11290.931623931623,147.0,152.0
room,11261.884615384615,148.0,153.0
dotlik,11195.161803713529,149.0,154.0
equival,11195.161803713529,149.0,154.0
contact,11142.298642533937,150.0,156.0
tail,11087.363360323885,151.0,157.0
junction,11052.414201183432,152.0,158.0
chang,11045.23076923077,153.0,159.0
pattern,11036.068376068377,154.0,160.0
neareld,11036.068376068377,154.0,160.0
radiat,11036.068376068377,154.0,160.0
constant,11011.975806451612,155.0,163.0
ev,10962.81334841629,156.0,164.0
senoh,10925.668639053256,157.0,165.0
iwasa,10925.668639053256,157.0,165.0
heat,10912.587692307692,158.0,167.0
gener,10912.587692307692,158.0,167.0
arbitrari,10837.781674208145,159.0,169.0
unit,10837.781674208145,159.0,169.0
undop,10810.826923076924,160.0,171.0
base,10788.641909814323,161.0,172.0
cmrespect,10739.857466063348,162.0,173.0
gradual,10698.885856079403,163.0,174.0
obtain,10697.094017094016,164.0,175.0
algan,10573.218934911241,165.0,176.0
incomposit,10568.699999999999,166.0,177.0
perpendicular,10552.976331360947,167.0,178.0
ridgegeometri,10476.675,168.0,179.0
present,10468.662393162393,169.0,180.0
excit,10452.884615384613,170.0,181.0
nitrid,10396.952662721893,171.0,182.0
duti,10359.865384615385,172.0,183.0
multiquantumwel,10270.9765625,173.0,184.0
control,10259.940446650124,174.0,185.0
photocurrentspectra,10244.46321070234,175.0,186.0
weremeasur,10244.46321070234,175.0,186.0
whichi,10226.547692307693,176.0,188.0
demonstr,10006.967194570138,177.0,189.0
compositionof,9951.983299595142,178.0,190.0
longitudin,9873.557692307693,179.0,191.0
uctuat,9746.308823529413,180.0,192.0
yamada,9710.494082840238,181.0,193.0
nagahama,9710.494082840238,181.0,193.0
causedbi,9635.866396761132,182.0,195.0
devic,9618.182952182953,183.0,196.0
recent,9592.63905325444,184.0,197.0
cwoper,9586.153846153846,185.0,198.0
iiiv,9574.173816568047,186.0,199.0
number,9498.662352071005,187.0,200.0
inth,9485.394736842105,188.0,201.0
pump,9476.517482517482,189.0,202.0
propos,9457.5351782364,190.0,203.0
describ,9397.574660633485,191.0,204.0
heavyhol,9350.515251989389,192.0,205.0
highpow,9349.129807692309,193.0,206.0
act,9284.642411642413,194.0,207.0
plane,9269.52380952381,195.0,208.0
ganbas,9262.211538461537,196.0,209.0
quantumdot,9144.961538461539,197.0,210.0
minima,9107.37321937322,198.0,211.0
certainpotenti,9107.37321937322,198.0,211.0
proposeda,9107.37321937322,198.0,211.0
pulsedcurr,9096.197916666666,199.0,214.0
orderto,9096.197916666666,199.0,214.0
clad,9095.239085239085,200.0,216.0
cmfor,9047.811740890687,201.0,217.0
tem,8965.472850678732,202.0,218.0
crosssect,8965.472850678732,202.0,218.0
operatingcurr,8946.490384615385,203.0,220.0
spectraof,8941.782051282049,204.0,221.0
compar,8941.782051282049,204.0,221.0
shoulderlik,8937.197802197801,205.0,223.0
chemic,8889.108974358975,206.0,224.0
bluishpurpl,8858.247781065089,207.0,225.0
highbright,8847.139423076924,208.0,226.0
consid,8837.571428571428,209.0,227.0
modehop,8788.596153846152,210.0,228.0
temperatureor,8788.596153846152,210.0,228.0
fabric,8750.787259615385,211.0,230.0
order,8708.263736263736,212.0,231.0
singlequantumwel,8640.923076923078,213.0,232.0
extern,8606.874125874127,214.0,233.0
efcienc,8606.874125874127,214.0,233.0
fwhm,8593.800569800569,215.0,235.0
si,8545.404532967033,216.0,236.0
broad,8474.73987854251,217.0,237.0
grown,8449.818087318086,218.0,238.0
clari,8431.743846153846,219.0,239.0
lightemit,8370.275147928995,220.0,240.0
theelectr,8354.389140271493,221.0,241.0
waywer,8354.389140271493,221.0,241.0
direct,8354.389140271493,221.0,241.0
ldswere,8250.932692307693,222.0,244.0
refract,8233.271794871795,223.0,245.0
beam,8214.884615384615,224.0,246.0
siwa,8197.884615384615,225.0,247.0
short,8160.0893300248135,226.0,248.0
coat,8080.3125,227.0,249.0
bandgap,8041.08173076923,228.0,250.0
narrowingof,8041.08173076923,228.0,250.0
thepeak,8041.08173076923,228.0,250.0
appearingat,8003.3156498673725,229.0,253.0
positionedat,8003.3156498673725,229.0,253.0
stimulatedemiss,8003.3156498673725,229.0,253.0
electroluminesc,7908.949704142012,230.0,256.0
achiev,7887.597956730769,231.0,257.0
roomtemperatur,7792.4778106508875,232.0,258.0
sugimoto,7785.526315789473,233.0,259.0
kiyoku,7785.526315789473,233.0,259.0
phasesepar,7716.258484162896,234.0,261.0
uctuationwa,7716.258484162896,234.0,261.0
transmiss,7716.258484162896,234.0,261.0
highresolut,7716.258484162896,234.0,261.0
athreedimension,7714.720279720279,235.0,265.0
kind,7697.698224852073,236.0,266.0
subbandemiss,7631.195652173912,237.0,267.0
thermal,7617.257692307692,238.0,268.0
display,7615.167529585799,239.0,269.0
fullcolor,7615.167529585799,239.0,269.0
continuouswav,7601.715976331361,240.0,271.0
jpn,7601.525198938992,241.0,272.0
assign,7585.286713286714,242.0,273.0
approxim,7561.8561872909695,243.0,274.0
matsushita,7554.144736842105,244.0,275.0
crystal,7539.6283284023675,245.0,276.0
selfform,7527.833333333332,246.0,277.0
barrierlay,7517.8125,247.0,278.0
give,7480.786858974358,248.0,279.0
rise,7480.786858974358,248.0,279.0
depth,7480.786858974358,248.0,279.0
ohmic,7456.565705128205,249.0,282.0
ofgan,7446.324270557029,250.0,283.0
guid,7446.324270557029,250.0,283.0
minor,7443.074898785425,251.0,285.0
aslarg,7421.623219373219,252.0,286.0
emissionenergi,7421.623219373219,252.0,286.0
meva,7415.19526627219,253.0,288.0
ntype,7413.288981288982,254.0,289.0
low,7412.923076923077,255.0,290.0
withan,7397.6442307692305,256.0,291.0
step,7397.6442307692305,256.0,291.0
evapor,7344.885989010989,257.0,293.0
exact,7276.552706552707,258.0,294.0
toth,7276.552706552707,258.0,294.0
clear,7276.552706552707,258.0,294.0
suggest,7276.552706552707,258.0,294.0
relat,7276.552706552707,258.0,294.0
zerodimension,7276.552706552707,258.0,294.0
strain,7276.499999999999,259.0,300.0
emit,7275.976091476091,260.0,301.0
witha,7220.284615384615,261.0,302.0
term,7197.259615384614,262.0,303.0
maximum,7167.45104895105,263.0,304.0
smallerwith,7139.8642533936645,264.0,305.0
sharp,7112.300904977375,265.0,306.0
wherei,7112.300904977375,265.0,306.0
isequival,7087.282239819005,266.0,308.0
theinganwelllayerwa,7087.282239819005,266.0,308.0
inject,7075.657894736842,267.0,310.0
assum,7075.657894736842,267.0,310.0
strong,7074.996153846155,268.0,312.0
analyz,7065.897435897435,269.0,313.0
advantest,7065.897435897435,269.0,313.0
spectroscopi,7065.897435897435,269.0,313.0
fouriertransform,7065.897435897435,269.0,313.0
mean,7046.204453441294,270.0,317.0
correspond,7043.691506410257,271.0,318.0
thresholdcurr,7043.691506410257,271.0,318.0
ofthes,7035.324519230769,272.0,320.0
bandll,7035.324519230769,272.0,320.0
receiv,6978.697115384614,273.0,322.0
statein,6968.447802197801,274.0,323.0
enhanc,6968.447802197801,274.0,323.0
possibl,6968.447802197801,274.0,323.0
surfac,6930.288461538461,275.0,326.0
thosefor,6928.749999999999,276.0,327.0
halfmaximum,6928.749999999999,276.0,327.0
typicalblu,6928.749999999999,276.0,327.0
consist,6920.766112266112,277.0,330.0
difcult,6906.411538461539,278.0,331.0
compos,6906.411538461539,278.0,331.0
poorregion,6906.411538461539,278.0,331.0
april,6858.998197115385,279.0,334.0
monochromat,6858.23987854251,280.0,335.0
wafer,6858.23987854251,280.0,335.0
focus,6858.23987854251,280.0,335.0
spectrumwa,6858.23987854251,280.0,335.0
mirror,6853.481781376518,281.0,339.0
halfpowerfwhp,6842.197802197802,282.0,340.0
shuji,6822.908653846154,283.0,341.0
mukai,6808.426775147929,284.0,342.0
area,6724.091715976332,285.0,343.0
temperaturewith,6710.920673076923,286.0,344.0
voltageof,6710.920673076923,286.0,344.0
mqwstructur,6710.920673076923,286.0,344.0
continuouswaveoper,6710.920673076923,286.0,344.0
smaller,6682.122171945702,287.0,348.0
yetbeen,6644.954326923077,288.0,349.0
fujita,6583.997596153846,289.0,350.0
isonli,6579.915384615384,290.0,351.0
tr,6547.989697802198,291.0,352.0
theld,6547.989697802198,291.0,352.0
versu,6547.989697802198,291.0,352.0
conductionin,6537.2751479289955,292.0,355.0
major,6537.2751479289955,292.0,355.0
widegap,6537.2751479289955,292.0,355.0
inganganalganbas,6537.2751479289955,292.0,355.0
developmentsin,6537.2751479289955,292.0,355.0
product,6537.2751479289955,292.0,355.0
emissionin,6537.2751479289955,292.0,355.0
heterostructur,6537.2751479289955,292.0,355.0
demonstrationof,6537.2751479289955,292.0,355.0
commerci,6537.2751479289955,292.0,355.0
thesedevelopmentsarearesultoftherealizationofhighqu,6537.2751479289955,292.0,355.0
molefract,6509.93927125506,293.0,366.0
currentof,6509.93927125506,293.0,366.0
ingaasp,6502.657894736842,294.0,368.0
cfor,6502.657894736842,294.0,368.0
lasersnakamura,6502.657894736842,294.0,368.0
indic,6495.170512820513,295.0,371.0
research,6484.820512820512,296.0,372.0
role,6473.698317307692,297.0,373.0
purpl,6473.698317307692,297.0,373.0
energylevelsasmentionedaboveseveralpeakswithadifferentpeaksepar,6454.60096153846,298.0,375.0
nmnakamura,6433.817307692308,299.0,376.0
sg,6401.114182692308,300.0,377.0
develop,6381.68376068376,301.0,378.0
subbandenergi,6348.850961538461,302.0,379.0
breakdown,6344.5034965034965,303.0,380.0
periodof,6344.5034965034965,303.0,380.0
circuit,6344.5034965034965,303.0,380.0
gure,6273.346153846154,304.0,383.0
novemb,6257.27564102564,305.0,384.0
februari,6257.27564102564,305.0,384.0
revis,6257.27564102564,305.0,384.0
theseemiss,6205.247596153845,306.0,387.0
mention,6205.247596153845,306.0,387.0
dotlikesubband,6205.247596153845,306.0,387.0
operationa,6100.120401337793,307.0,390.0
subbandemissionswith,6083.239010989011,308.0,391.0
anenergi,6083.239010989011,308.0,391.0
arecausedbymod,6083.239010989011,308.0,391.0
singl,6039.391025641025,309.0,394.0
emissionbecom,6039.391025641025,309.0,394.0
increasingth,6039.391025641025,309.0,394.0
center,6039.391025641025,309.0,394.0
mass,6018.517482517484,310.0,398.0
carriersresult,6018.517482517484,310.0,398.0
inhomogeneitiesin,6014.1047008547,311.0,400.0
sic,6001.658653846153,312.0,401.0
gap,6001.658653846153,312.0,401.0
thatdescrib,5907.227884615385,313.0,403.0
astigmat,5905.704142011835,314.0,404.0
nichia,5850.9059829059825,315.0,405.0
multiquantumwellstructur,5809.326923076923,316.0,406.0
interest,5748.839743589744,317.0,407.0
respect,5748.839743589744,317.0,407.0
well,5748.839743589744,317.0,407.0
radi,5748.839743589744,317.0,407.0
trap,5748.839743589744,317.0,407.0
inganmqw,5748.839743589744,317.0,407.0
attribut,5748.839743589744,317.0,407.0
mthick,5679.182432432433,318.0,414.0
lm,5669.685314685315,319.0,415.0
energysepar,5669.637179487179,320.0,416.0
highdens,5666.923076923076,321.0,417.0
media,5666.923076923076,321.0,417.0
requir,5666.923076923076,321.0,417.0
undersea,5666.923076923076,321.0,417.0
printer,5666.923076923076,321.0,417.0
readwrit,5666.923076923076,321.0,417.0
commun,5666.923076923076,321.0,417.0
sourcesfor,5666.923076923076,321.0,417.0
storag,5666.923076923076,321.0,417.0
magnet,5666.923076923076,321.0,417.0
includ,5666.923076923076,321.0,417.0
sourc,5666.923076923076,321.0,417.0
athick,5611.048856548857,322.0,429.0
selforgan,5604.083333333333,323.0,430.0
alsoorigin,5573.259109311741,324.0,431.0
thatth,5573.259109311741,324.0,431.0
aquantumdotst,5573.259109311741,324.0,431.0
becauseth,5573.259109311741,324.0,431.0
stateof,5573.259109311741,324.0,431.0
larger,5573.259109311741,324.0,431.0
emissionsar,5505.434911242604,325.0,437.0
td,5462.769230769231,326.0,438.0
metal,5373.697802197802,327.0,439.0
highqual,5352.591346153847,328.0,440.0
thewhol,5351.125739644971,329.0,441.0
integr,5351.125739644971,329.0,441.0
theastigmat,5351.125739644971,329.0,441.0
calcul,5351.125739644971,329.0,441.0
welllay,5351.125739644971,329.0,441.0
ganmg,5296.569126819128,330.0,446.0
gansi,5296.569126819128,330.0,446.0
substrat,5292.478116710875,331.0,448.0
superbright,5266.14275147929,332.0,449.0
singlequantumwellstructur,5266.14275147929,332.0,449.0
andsharpli,5260.531017369727,333.0,451.0
stage,5260.531017369727,333.0,451.0
initi,5260.531017369727,333.0,451.0
theincreas,5260.531017369727,333.0,451.0
currentwa,5182.403846153845,334.0,455.0
drive,5182.403846153845,334.0,455.0
ledsexhibit,5182.403846153845,334.0,455.0
realiz,5172.711538461538,335.0,458.0
alingap,5172.711538461538,335.0,458.0
consumpt,5172.711538461538,335.0,458.0
whitelamp,5172.711538461538,335.0,458.0
bulb,5172.711538461538,335.0,458.0
red,5172.711538461538,335.0,458.0
place,5172.711538461538,335.0,458.0
uoresc,5172.711538461538,335.0,458.0
combin,5172.711538461538,335.0,458.0
aresult,5120.252307692307,336.0,467.0
mgdope,5111.337912087912,337.0,468.0
apc,5095.47270471464,338.0,469.0
autopow,5095.47270471464,338.0,469.0
test,5095.47270471464,338.0,469.0
isshown,5095.47270471464,338.0,469.0
carri,5095.47270471464,338.0,469.0
cleav,4952.244031830239,339.0,474.0
sandwich,4912.153846153847,340.0,475.0
multiquantum,4907.715811965812,341.0,476.0
angl,4818.543522267206,342.0,477.0
onaxi,4818.543522267206,342.0,477.0
conic,4818.543522267206,342.0,477.0
view,4818.543522267206,342.0,477.0
applphyslett,4740.489819004525,343.0,481.0
materi,4594.4375,344.0,482.0
tio,4561.844780219781,345.0,483.0
highreect,4561.844780219781,345.0,483.0
quarterwav,4561.844780219781,345.0,483.0
pair,4561.844780219781,345.0,483.0
siodielectricnakamura,4561.844780219781,345.0,483.0
signicantli,4514.655870445345,346.0,488.0
adjust,4514.655870445345,346.0,488.0
ableto,4514.655870445345,346.0,488.0
respons,4494.072649572649,347.0,491.0
aspect,4494.072649572649,347.0,491.0
caviti,4470.384615384615,348.0,493.0
aris,4426.634615384615,349.0,494.0
domin,4359.205128205128,350.0,495.0
main,4359.205128205128,350.0,495.0
ntypeandptyp,4343.7993762993765,351.0,497.0
lightguid,4343.7993762993765,351.0,497.0
sidopedin,4343.7993762993765,351.0,497.0
sidop,4343.7993762993765,351.0,497.0
medium,4343.7993762993765,351.0,497.0
inganingan,4343.7993762993765,351.0,497.0
ganwelllay,4343.7993762993765,351.0,497.0
buffer,4343.7993762993765,351.0,497.0
prevent,4322.912087912087,352.0,505.0
thermalann,4322.912087912087,352.0,505.0
niau,4322.912087912087,352.0,505.0
acceptor,4322.912087912087,352.0,505.0
dissoci,4322.912087912087,352.0,505.0
contactresistanceofthepelectrodethelowtemperaturethermalann,4322.912087912087,352.0,505.0
year,4204.401923076923,353.0,511.0
luminousintens,4204.401923076923,353.0,511.0
succeed,4204.401923076923,353.0,511.0
univers,4204.401923076923,353.0,511.0
florida,4204.401923076923,353.0,511.0
depart,4136.0,354.0,516.0
uenoyama,4088.628205128205,355.0,517.0
biaxial,4088.628205128205,355.0,517.0
suzuki,3991.2931034482763,356.0,519.0
engin,3672.287749287749,357.0,520.0
dri,3579.350961538462,358.0,521.0
etch,3579.350961538462,358.0,521.0
deposit,3470.283400809716,359.0,523.0
vapor,3470.283400809716,359.0,523.0
mocvd,3470.283400809716,359.0,523.0
studi,3435.5021367521363,360.0,526.0
compani,3435.5021367521363,360.0,526.0
sugiura,3278.4827586206898,361.0,528.0
cface,3278.4827586206898,361.0,528.0
ishikawa,3278.4827586206898,361.0,528.0
nunou,3278.4827586206898,361.0,528.0
yamamoto,3278.4827586206898,361.0,528.0
kokubun,3278.4827586206898,361.0,528.0
nishino,3278.4827586206898,361.0,528.0
onomura,3278.4827586206898,361.0,528.0
itaya,3278.4827586206898,361.0,528.0
saito,3278.4827586206898,361.0,528.0
hatakoshi,3278.4827586206898,361.0,528.0
fujimoto,3278.4827586206898,361.0,528.0
sapphir,3278.4827586206898,361.0,528.0
hole,3197.6555944055945,362.0,541.0
phosphor,3019.084757834758,363.0,542.0
oec,3019.084757834758,363.0,542.0
nikkei,3019.084757834758,363.0,542.0
leo,3019.084757834758,363.0,542.0
special,3019.084757834758,363.0,542.0
nishina,3019.084757834758,363.0,542.0
paper,3019.084757834758,363.0,542.0
memori,3019.084757834758,363.0,542.0
recipi,3019.084757834758,363.0,542.0
bp,3019.084757834758,363.0,542.0
jsap,3019.084757834758,363.0,542.0
award,3019.084757834758,363.0,542.0
sid,3019.084757834758,363.0,542.0
industri,2390.974358974359,364.0,555.0
japan,2215.230769230769,365.0,556.0
tokushima,2215.230769230769,365.0,556.0
join,2208.903846153846,366.0,558.0
bhattarai,2106.9615384615386,367.0,559.0
khan,2106.9615384615386,367.0,559.0
transistor,2106.9615384615386,367.0,559.0
signal,2106.9615384615386,367.0,559.0
eld,2106.9615384615386,367.0,559.0
olson,2106.9615384615386,367.0,559.0
kuznia,2106.9615384615386,367.0,559.0
chichibu,1835.5879120879122,368.0,566.0
sota,1835.5879120879122,368.0,566.0
azuhata,1835.5879120879122,368.0,566.0
theunivers,1773.926282051282,369.0,569.0
ms,1773.926282051282,369.0,569.0
degre,1773.926282051282,369.0,569.0
type,1720.008875739645,370.0,572.0
kito,1720.008875739645,370.0,572.0
lowenergi,1720.008875739645,370.0,572.0
hiramatsu,1720.008875739645,370.0,572.0
akasaki,1720.008875739645,370.0,572.0
treat,1720.008875739645,370.0,572.0
amano,1720.008875739645,370.0,572.0
identi,1643.4718934911245,371.0,579.0
item,1643.4718934911245,371.0,579.0
born,1389.3974358974358,372.0,581.0
ehim,1389.3974358974358,372.0,581.0
author,1201.9692307692308,373.0,583.0
kaminaka,1201.9692307692308,373.0,583.0
anan,1201.9692307692308,373.0,583.0
stringfellow,1131.3846153846152,374.0,586.0
immisc,1131.3846153846152,374.0,586.0
solid,1131.3846153846152,374.0,586.0
ho,1131.3846153846152,374.0,586.0
strite,1112.489010989011,375.0,590.0
vac,1112.489010989011,375.0,590.0
review,1112.489010989011,375.0,590.0
morko,1112.489010989011,375.0,590.0
inn,1112.489010989011,375.0,590.0
aln,1112.489010989011,375.0,590.0
lett,966.2019230769231,376.0,596.0
pp,966.2019230769231,376.0,596.0
bufferlay,676.0384615384615,377.0,598.0
jpnjapplphi,676.0384615384615,377.0,598.0
snakamuragangrowthusinggan,676.0384615384615,377.0,598.0
funato,123.57692307692308,378.0,601.0
sz,123.57692307692308,378.0,601.0
kawakami,123.57692307692308,378.0,601.0
narukawa,123.57692307692308,378.0,601.0
